No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
1;A;Agilent Technologies Inc.;Healthcare;Medical Laboratories & Research;USA;34130;37.43;3.22;325.47;-29.00;79.30;116.70;-2.50;332.09;0.20;6.70;0.40;50.40;5.80
2;AA;Alcoa Inc.;Basic Materials;Aluminum;USA;14140;22.25;1.23;23.15;109.80;17.10;200.00;6.70;2210;0.30;3.70;0.77;21.40;1.80
3;AAPL;Apple Inc.;Consumer Goods;Electronic Equipment;USA;537340;15.76;5.73;13.85;13.60;37.80;40.40;27.10;7650;0.05;39.40;0.34;39.70;22.50
4;ABBV;AbbVie Inc.;Healthcare;Drug Manufacturers - Major;USA;231110;62.34;81.19;102.61;-57.20;-17.80;4.90;10.50;5710;0.10;56.00;11.09;79.40;8.90
5;ABC;AmerisourceBergen Corporation;Services;Drugs Wholesale;USA;64230;-;12.37;9.42;-42.40;-6.50;-406.60;14.80;207.71;0.30;-34.50;2.09;2.50;-0.50
6;ABT;Abbott Laboratories;Healthcare;Medical Appliances & Equipment;USA;44730;37.09;3.40;79.74;-10.30;-21.10;150.00;3.00;4910;0.30;20.40;0.39;55.80;22.40
7;ACE;ACE Limited;Financial;Property & Casualty Insurance;Switzerland;56330;12.35;1.14;9.70;-22.90;2.40;-4.70;-0.70;324.35;0.80;9.40;0.24;-;14.60
8;ACN;Accenture plc;Technology;Information Technology Services;Ireland;85650;21.77;10.43;25.69;-8.30;13.10;11.30;4.80;464.40;0.20;53.30;0.00;29.80;9.30
9;ADBE;Adobe Systems Incorporated;Technology;Application Software;USA;99410;116.58;6.34;36.21;-5.40;-6.20;70.60;8.80;498.58;0.10;5.50;0.29;84.60;8.40
10;ADI;Analog Devices, Inc.;Technology;Semiconductor - Integrated Circuits;USA;88200;31.26;4.19;58.43;-7.50;18.40;10.20;18.20;311.21;0.20;13.80;0.18;64.10;21.50
11;ADM;Archer-Daniels-Midland Company;Consumer Goods;Farm Products;USA;45310;13.34;1.72;8.34;69.80;2.70;92.50;-15.40;606.52;0.30;12.60;0.34;6.70;3.20
12;ADP;Automatic Data Processing, Inc.;Technology;Business Software & Services;USA;13390;28.25;7.57;51.56;11.50;3.50;15.60;7.30;467.18;0.10;25.40;0.00;41.10;13.00
13;ADS;Alliance Data Systems Corporation;Services;Business Services;USA;86180;35.39;10.03;18.34;9.30;21.50;23.10;29.90;60.61;2.30;33.60;5.06;39.40;9.40
14;ADSK;Autodesk, Inc.;Technology;Technical & System Software;USA;13120;171.94;5.44;24.15;-65.00;7.00;-33.30;9.10;226.98;0.40;3.20;0.34;86.20;2.80
15;ADT;The ADT Corporation;Services;Security & Protection Services;USA;8350;19.55;1.93;9.86;-11.70;9.40;17.60;6.30;170.80;0.40;9.80;1.75;58.10;8.70
16;AEE;Ameren Corporation;Utilities;Electric Utilities;USA;1090;15.25;1.36;-;14.80;-2.90;12.50;-2.40;241.97;0.30;8.90;1.07;82.90;9.90
