molregno	chembl_id	accession	description	target_name	standard_relation	standard_value	standard_units	standard_type	organism	assay_cell_type	Num_Atoms	ALogP	LogD	QED	SMILES_cpd	SMILES_BM	BMCluster	BMCluster_size
107067	CHEMBL68920	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	7820	nM	IC50	Homo sapiens	NIH3T3	27	4.467	4.467	0.58271	Cc1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
107067	CHEMBL68920	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	300	nM	IC50	Homo sapiens	A-431	27	4.467	4.467	0.58271	Cc1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
107375	CHEMBL69960	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	440	nM	IC50	Homo sapiens	NIH3T3	34	3.715	3.714	0.48858	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C(=O)N5CCOCC5	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	2	1
107375	CHEMBL69960	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	40	nM	IC50	Homo sapiens	A-431	34	3.715	3.714	0.48858	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C(=O)N5CCOCC5	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	2	1
106301	CHEMBL65848	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	4320	nM	IC50	Homo sapiens	NIH3T3	35	3.902	3.902	0.49878	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5CCCc5c4)c23)C(=O)N6CCOCC6	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccc6CCCc6c5)c34)[nH]2	3	1
106301	CHEMBL65848	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	5000	nM	IC50	Homo sapiens	A-431	35	3.902	3.902	0.49878	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5CCCc5c4)c23)C(=O)N6CCOCC6	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccc6CCCc6c5)c34)[nH]2	3	1
107365	CHEMBL69629	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	2050	nM	IC50	Homo sapiens	NIH3T3	37	3.647	3.627	0.34703	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C(=O)NCCN5CCOCC5	C(CN1CCOCC1)NCc2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	4	2
107365	CHEMBL69629	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	40	nM	IC50	Homo sapiens	A-431	37	3.647	3.627	0.34703	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C(=O)NCCN5CCOCC5	C(CN1CCOCC1)NCc2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	4	2
107105	CHEMBL66570	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	7500	nM	IC50	Homo sapiens	NIH3T3	36	4.333	3.295	0.44191	CCN1CCN(CC1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2	C(N1CCNCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	5	3
107105	CHEMBL66570	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	200	nM	IC50	Homo sapiens	A-431	36	4.333	3.295	0.44191	CCN1CCN(CC1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2	C(N1CCNCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	5	3
